ecfp_feature_12,ecfp_feature_14,ecfp_feature_15,ecfp_feature_18,ecfp_feature_19,ecfp_feature_23,ecfp_feature_28,ecfp_feature_33,ecfp_feature_34,ecfp_feature_43,ecfp_feature_46,ecfp_feature_47,ecfp_feature_53,ecfp_feature_56,ecfp_feature_57,ecfp_feature_58,ecfp_feature_62,ecfp_feature_64,ecfp_feature_65,ecfp_feature_72,ecfp_feature_73,ecfp_feature_74,ecfp_feature_75,ecfp_feature_77,ecfp_feature_80,ecfp_feature_81,ecfp_feature_88,ecfp_feature_89,ecfp_feature_90,ecfp_feature_92,ecfp_feature_102,ecfp_feature_112,ecfp_feature_114,ecfp_feature_116,ecfp_feature_119,ecfp_feature_121,ecfp_feature_124,ecfp_feature_125,ecfp_feature_126,ecfp_feature_127,ecfp_feature_128,ecfp_feature_130,ecfp_feature_136,ecfp_feature_139,ecfp_feature_140,ecfp_feature_141,ecfp_feature_144,ecfp_feature_147,ecfp_feature_153,ecfp_feature_155,ecfp_feature_157,ecfp_feature_162,ecfp_feature_163,ecfp_feature_165,ecfp_feature_170,ecfp_feature_171,ecfp_feature_172,ecfp_feature_175,ecfp_feature_176,ecfp_feature_180,ecfp_feature_182,ecfp_feature_183,ecfp_feature_184,ecfp_feature_185,ecfp_feature_190,ecfp_feature_191,ecfp_feature_198,ecfp_feature_199,ecfp_feature_202,ecfp_feature_205,ecfp_feature_214,ecfp_feature_216,ecfp_feature_219,ecfp_feature_222,ecfp_feature_229,ecfp_feature_231,ecfp_feature_234,ecfp_feature_235,ecfp_feature_241,ecfp_feature_242,ecfp_feature_243,ecfp_feature_244,ecfp_feature_245,ecfp_feature_248,ecfp_feature_250,ecfp_feature_257,ecfp_feature_275,ecfp_feature_281,ecfp_feature_290,ecfp_feature_294,ecfp_feature_297,ecfp_feature_305,ecfp_feature_309,ecfp_feature_317,ecfp_feature_318,ecfp_feature_319,ecfp_feature_322,ecfp_feature_327,ecfp_feature_333,ecfp_feature_338,ecfp_feature_348,ecfp_feature_349,ecfp_feature_350,ecfp_feature_351,ecfp_feature_354,ecfp_feature_355,ecfp_feature_356,ecfp_feature_360,ecfp_feature_361,ecfp_feature_364,ecfp_feature_366,ecfp_feature_367,ecfp_feature_378,ecfp_feature_382,ecfp_feature_383,ecfp_feature_389,ecfp_feature_390,ecfp_feature_391,ecfp_feature_392,ecfp_feature_394,ecfp_feature_407,ecfp_feature_413,ecfp_feature_422,ecfp_feature_428,ecfp_feature_429,ecfp_feature_433,ecfp_feature_437,ecfp_feature_448,ecfp_feature_449,ecfp_feature_451,ecfp_feature_456,ecfp_feature_459,ecfp_feature_461,ecfp_feature_462,ecfp_feature_464,ecfp_feature_471,ecfp_feature_473,ecfp_feature_482,ecfp_feature_493,ecfp_feature_498,ecfp_feature_508,ecfp_feature_511,ecfp_feature_518,ecfp_feature_521,ecfp_feature_530,ecfp_feature_536,ecfp_feature_538,ecfp_feature_543,ecfp_feature_549,ecfp_feature_552,ecfp_feature_554,ecfp_feature_557,ecfp_feature_559,ecfp_feature_561,ecfp_feature_566,ecfp_feature_578,ecfp_feature_579,ecfp_feature_583,ecfp_feature_593,ecfp_feature_595,ecfp_feature_602,ecfp_feature_604,ecfp_feature_606,ecfp_feature_613,ecfp_feature_617,ecfp_feature_618,ecfp_feature_620,ecfp_feature_628,ecfp_feature_629,ecfp_feature_631,ecfp_feature_640,ecfp_feature_641,ecfp_feature_646,ecfp_feature_647,ecfp_feature_650,ecfp_feature_659,ecfp_feature_661,ecfp_feature_663,ecfp_feature_667,ecfp_feature_673,ecfp_feature_674,ecfp_feature_675,ecfp_feature_676,ecfp_feature_677,ecfp_feature_680,ecfp_feature_684,ecfp_feature_691,ecfp_feature_692,ecfp_feature_695,ecfp_feature_698,ecfp_feature_700,ecfp_feature_702,ecfp_feature_715,ecfp_feature_716,ecfp_feature_718,ecfp_feature_721,ecfp_feature_723,ecfp_feature_726,ecfp_feature_734,ecfp_feature_736,ecfp_feature_737,ecfp_feature_738,ecfp_feature_746,ecfp_feature_753,ecfp_feature_759,ecfp_feature_761,ecfp_feature_769,ecfp_feature_775,ecfp_feature_779,ecfp_feature_781,ecfp_feature_783,ecfp_feature_785,ecfp_feature_787,ecfp_feature_790,ecfp_feature_792,ecfp_feature_794,ecfp_feature_796,ecfp_feature_799,ecfp_feature_803,ecfp_feature_804,ecfp_feature_807,ecfp_feature_809,ecfp_feature_813,ecfp_feature_816,ecfp_feature_830,ecfp_feature_831,ecfp_feature_832,ecfp_feature_835,ecfp_feature_837,ecfp_feature_838,ecfp_feature_841,ecfp_feature_842,ecfp_feature_843,ecfp_feature_848,ecfp_feature_852,ecfp_feature_857,ecfp_feature_875,ecfp_feature_876,ecfp_feature_881,ecfp_feature_885,ecfp_feature_888,ecfp_feature_893,ecfp_feature_895,ecfp_feature_896,ecfp_feature_897,ecfp_feature_900,ecfp_feature_904,ecfp_feature_909,ecfp_feature_914,ecfp_feature_915,ecfp_feature_916,ecfp_feature_926,ecfp_feature_927,ecfp_feature_930,ecfp_feature_931,ecfp_feature_932,ecfp_feature_935,ecfp_feature_939,ecfp_feature_947,ecfp_feature_948,ecfp_feature_951,ecfp_feature_953,ecfp_feature_956,ecfp_feature_960,ecfp_feature_961,ecfp_feature_969,ecfp_feature_971,ecfp_feature_974,ecfp_feature_975,ecfp_feature_980,ecfp_feature_993,ecfp_feature_994,ecfp_feature_999,ecfp_feature_1000,ecfp_feature_1006,ecfp_feature_1013,ecfp_feature_1017,ecfp_feature_1023,e_isomer_pi_pi,smiles
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.0,C[N]1N=NC(=N1)N=NC2=CC=CC=C2
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.0,C[N]1C=NC(=N1)N=NC2=CC=CC=C2
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.0,C[N]1C=CC(=N1)N=NC2=CC=CC=C2
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.0,C[N]1C=C(C)C(=N1)N=NC2=CC=CC=C2
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.0,C[N]1C=C(C=N1)N=NC2=CC=CC=C2
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.0,C[N]1N=C(C)C(=C1C)N=NC2=CC=CC=C2
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.0,C[N]1N=CC=C1N=NC2=CC=CC=C2
0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.0,C[N]1N=CC(=C1N=NC2=CC=CC=C2)C
0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.0,CC(N(C)C(C)=C1)=C1/N=N/C2=CC=CC=C2
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.0,CC(N(C)C(C)=C1C)=C1/N=N/C2=CC=CC=C2
